accession	fetch_source	note
Q53F19	uniprot	
Q96A33	uniprot	
Q99961	uniprot	
Q9UHB6	uniprot	
P01763	uniprot	
O94819	uniprot	
P22528	uniprot	
P53609	uniprot	
Q15819	uniprot	
Q8TD26	uniprot	
Q8TER5	uniprot	
Q9BY31	uniprot	
Q9BZE7	uniprot	
Q9P267	uniprot	
Q9UIF9	uniprot	
Q9UK10	uniprot	
Q9ULW8	uniprot	
P05386	uniprot	
A1L390	uniprot	
P60660	uniprot	
P10768	uniprot	
P35237	uniprot	
P42785	uniprot	
P35606	uniprot	
O43490	uniprot	
P15289	uniprot	
P62330	uniprot	
P46019	uniprot	
P16401	uniprot	
P30536	uniprot	
P23743	uniprot	
P28330	uniprot	
P51530	uniprot	
Q07002	uniprot	
Q13045	uniprot	
Q14126	uniprot	
Q14774	uniprot	
Q16204	uniprot	
Q16401	uniprot	
Q2NKX8	uniprot	
Q5JSZ5	uniprot	
Q5K651	uniprot	
Q5UIP0	uniprot	
Q5VWQ0	uniprot	
Q6P1J9	uniprot	
Q6PJG2	uniprot	
Q71RC2	uniprot	
Q7Z5N4	uniprot	
Q86WR7	uniprot	
Q86XU0	uniprot	
Q86YT6	uniprot	
Q8IVT5	uniprot	
Q8NI22	uniprot	
Q8TAK5	uniprot	
Q8WXG6	uniprot	
Q92614	uniprot	
Q92824	uniprot	
Q96D09	uniprot	
Q96RW7	uniprot	
Q9HD20	uniprot	
Q9UHL4	uniprot	
Q9Y6W5	uniprot	
P00747	uniprot	
P07477	uniprot	
P02538	uniprot	
P09211	uniprot	
O00255	uniprot	
P00491	uniprot	
P14543	uniprot	
P05121	uniprot	
O95279	uniprot	
P46952	uniprot	
P68871	uniprot	
P85298	uniprot	
Q07954	uniprot	
Q1L5Z9	uniprot	
Q6P4R8	uniprot	
Q6P6B1	uniprot	
Q6ZU65	uniprot	
Q8NFH8	uniprot	
Q8TBZ2	uniprot	
Q96QB1	uniprot	
Q9H4D5	uniprot	
Q9NVE5	uniprot	
Q9UL17	uniprot	
Q9Y4F4	uniprot	
Q9Y4G6	uniprot	
P02654	uniprot	
Q8TDL5	uniprot	
P09237	uniprot	
P07476	uniprot	
A0FGR9	uniprot	
A6NCI4	uniprot	
H7BZ55	uniprot	
P01782	uniprot	
P16499	uniprot	
P48741	uniprot	
P98088	uniprot	
Q08554	uniprot	
Q12756	uniprot	
Q5VXU9	uniprot	
Q6PIF6	uniprot	
Q7Z410	uniprot	
Q969V4	uniprot	
Q96MR6	uniprot	
Q9HAZ2	uniprot	
Q9UPA5	uniprot	
P04899	uniprot	
P50395	uniprot	
P25787	uniprot	
O43865	uniprot	
P62318	uniprot	
P15408	uniprot	
P35251	uniprot	
Q04941	uniprot	
Q15397	uniprot	
Q53H54	uniprot	
Q86YC3	uniprot	
Q8N0X7	uniprot	
Q8N1F8	uniprot	
Q92820	uniprot	
Q93009	uniprot	
Q969T7	uniprot	
Q9BRA2	uniprot	
P14854	uniprot	
O14773	uniprot	
P62081	uniprot	
Q15643	uniprot	
Q7RTS9	uniprot	
Q7Z3K3	uniprot	
Q7Z7M9	uniprot	
Q8WTW3	uniprot	
Q93075	uniprot	
Q96AY2	uniprot	
Q9H336	uniprot	
Q9P032	uniprot	
Q9P2E9	uniprot	
Q9UKI8	uniprot	
Q9UKX5	uniprot	
P22079	uniprot	
P0DJI9	uniprot	
P09603	uniprot	
P08476	uniprot	
Q13535	uniprot	
Q15485	uniprot	
Q7L4P6	uniprot	
Q86Y22	uniprot	
Q8N6S4	uniprot	
Q8NHM5	uniprot	
Q9BRP7	uniprot	
Q9BYN7	uniprot	
Q9BZJ0	uniprot	
Q9C0D6	uniprot	
Q9HB29	uniprot	
Q9NVC6	uniprot	
Q9Y4A5	uniprot	
P61225	uniprot	
P05997	uniprot	
O95372	uniprot	
P04792	uniprot	
P19367	uniprot	
O15357	uniprot	
P40763	uniprot	
O43684	uniprot	
O75170	uniprot	
O60447	uniprot	
P49419	uniprot	
P63241	uniprot	
P51178	uniprot	
Q04446	uniprot	
Q13200	uniprot	
Q15545	uniprot	
Q15554	uniprot	
Q16762	uniprot	
Q5T4S7	uniprot	
Q6UB98	uniprot	
Q6ZU80	uniprot	
Q86XR8	uniprot	
Q8IY21	uniprot	
Q8TCT7	uniprot	
Q92817	uniprot	
Q96ST3	uniprot	
Q96TA1	uniprot	
Q99714	uniprot	
Q9BV20	uniprot	
Q9BVI0	uniprot	
Q9C0A6	uniprot	
Q9H0E2	uniprot	
Q9H6U6	uniprot	
Q9HCK4	uniprot	
Q9UBQ7	uniprot	
Q9UBS9	uniprot	
Q9UPY3	uniprot	
Q9Y618	uniprot	
Q15435	uniprot	
P68402	uniprot	
Q8N4F0	uniprot	
P02766	uniprot	
P07900	uniprot	
P42224	uniprot	
P09104	uniprot	
P50440	uniprot	
O60568	uniprot	
P07451	uniprot	
P21817	uniprot	
P62280	uniprot	
P07099	uniprot	
P18510	uniprot	
Q13867	uniprot	
Q14210	uniprot	
Q5T481	uniprot	
Q6IMN6	uniprot	
Q6SA08	uniprot	
Q6ZMZ3	uniprot	
Q8N9B4	uniprot	
Q8NEN0	uniprot	
Q8WXX0	uniprot	
Q96S96	uniprot	
Q9UFE4	uniprot	
Q9UI26	uniprot	
Q9Y6C2	uniprot	
O75563	uniprot	
O60635	uniprot	
A6NHR8	uniprot	
B2CW77	uniprot	
O75445	uniprot	
P40225	uniprot	
Q15413	uniprot	
Q16518	uniprot	
Q5T3I0	uniprot	
Q6N022	uniprot	
Q6UYE1	uniprot	
Q8N7X0	uniprot	
Q8TF17	uniprot	
Q9GZU5	uniprot	
Q9P242	uniprot	
Q9UKX3	uniprot	
Q9UPW8	uniprot	
Q9UQD0	uniprot	
Q9Y493	uniprot	
P51572	uniprot	
P00441	uniprot	
O15018	uniprot	
O76062	uniprot	
P49441	uniprot	
P42694	uniprot	
Q08380	uniprot	
Q14669	uniprot	
Q86UU1	uniprot	
Q8NEF3	uniprot	
Q8TEW0	uniprot	
Q8WWI1	uniprot	
Q92520	uniprot	
Q9GZM8	uniprot	
Q9H0T7	uniprot	
Q9H583	uniprot	
Q9NQT8	uniprot	
Q9NQW6	uniprot	
Q9NYK5	uniprot	
Q9NZ08	uniprot	
Q9Y4B5	uniprot	
P27635	uniprot	
P61353	uniprot	
P13647	uniprot	
P60981	uniprot	
P10606	uniprot	
P61604	uniprot	
P27487	uniprot	
O60292	uniprot	
O75663	uniprot	
P46776	uniprot	
P21359	uniprot	
Q08357	uniprot	
Q13813	uniprot	
Q14244	uniprot	
Q15029	uniprot	
Q5TCS8	uniprot	
Q5XG87	uniprot	
Q8TAQ2	uniprot	
Q9BUQ8	uniprot	
Q9UI09	uniprot	
Q9Y4E6	uniprot	
P80303	uniprot	
P48436	uniprot	
P12259	uniprot	
P06312	uniprot	
P01714	uniprot	
P03950	uniprot	
P57071	uniprot	
P78380	uniprot	
P84085	uniprot	
Q00325	uniprot	
Q5VU43	uniprot	
Q5VWG9	uniprot	
Q6KB66	uniprot	
Q6PGN9	uniprot	
Q7Z7G8	uniprot	
Q86V25	uniprot	
Q86VI3	uniprot	
Q8IZ40	uniprot	
Q8NEZ4	uniprot	
Q96PE1	uniprot	
Q9BWN1	uniprot	
Q9H5P4	uniprot	
Q9HCE1	uniprot	
Q9P202	uniprot	
Q9Y283	uniprot	
P36222	uniprot	
P30050	uniprot	
P06576	uniprot	
P63104	uniprot	
P08174	uniprot	
O00468	uniprot	
O15305	uniprot	
P25789	uniprot	
P17301	uniprot	
O43505	uniprot	
O75131	uniprot	
P00390	uniprot	
O95671	uniprot	
P11586	uniprot	
O94806	uniprot	
O95398	uniprot	
P62263	uniprot	
P08708	uniprot	
P46977	uniprot	
Q11201	uniprot	
Q14247	uniprot	
Q15021	uniprot	
Q15063	uniprot	
Q15365	uniprot	
Q15386	uniprot	
Q15858	uniprot	
Q5T4D3	uniprot	
Q5T6C5	uniprot	
Q6WKZ4	uniprot	
Q86UX6	uniprot	
Q86YF9	uniprot	
Q8N0Z3	uniprot	
Q8ND30	uniprot	
Q96DC8	uniprot	
Q9GZU2	uniprot	
Q9H2K8	uniprot	
Q9NQ89	uniprot	
Q9Y296	uniprot	
Q9Y490	uniprot	
Q9Y666	uniprot	
Q9Y6N5	uniprot	
Q9P0L0	uniprot	
P16435	uniprot	
Q9UJY1	uniprot	
P00738	uniprot	
P05109	uniprot	
P46821	uniprot	
P37802	uniprot	
P09972	uniprot	
P55268	uniprot	
P19971	uniprot	
P45974	uniprot	
P48163	uniprot	
P15309	uniprot	
O95466	uniprot	
P20908	uniprot	
O96006	uniprot	
P04155	uniprot	
P20702	uniprot	
P08151	uniprot	
P12036	uniprot	
P59666	uniprot	
P29536	uniprot	
P21439	uniprot	
Q05315	uniprot	
Q07075	uniprot	
Q14574	uniprot	
Q14691	uniprot	
Q15751	uniprot	
Q16851	uniprot	
Q5S007	uniprot	
Q5THJ4	uniprot	
Q69YN4	uniprot	
Q9C093	uniprot	
Q9H7D0	uniprot	
Q9HCJ0	uniprot	
Q9UBC9	uniprot	
Q9UKR3	uniprot	
Q9UQC9	uniprot	
Q96A32	uniprot	
Q9H4M9	uniprot	
Q9H0J4	uniprot	
P12724	uniprot	
P15814	uniprot	
O75417	uniprot	
P11684	uniprot	
Q14993	uniprot	
Q17RW2	uniprot	
Q49AJ0	uniprot	
Q5VZ66	uniprot	
Q86TB3	uniprot	
Q86YW9	uniprot	
Q8N0Y7	uniprot	
Q9C0A0	uniprot	
Q9NSB2	uniprot	
Q9ULL0	uniprot	
Q9UPU3	uniprot	
Q9Y6X6	uniprot	
P23528	uniprot	
P14174	uniprot	
O15145	uniprot	
P31948	uniprot	
P48637	uniprot	
P06213	uniprot	
P08236	uniprot	
P29475	uniprot	
Q01459	uniprot	
Q06730	uniprot	
Q13201	uniprot	
Q13402	uniprot	
Q14204	uniprot	
Q14764	uniprot	
Q5VT25	uniprot	
Q6NSJ0	uniprot	
Q7L804	uniprot	
Q99551	uniprot	
Q9BQ50	uniprot	
Q9NQX5	uniprot	
Q9NRE2	uniprot	
Q9NXH8	uniprot	
Q9Y4L1	uniprot	
Q8TCD5	uniprot	
Q9UL52	uniprot	
P07602	uniprot	
P54727	uniprot	
P62266	uniprot	
P99999	uniprot	
Q14997	uniprot	
Q86SF2	uniprot	
Q8IZA0	uniprot	
Q9H173	uniprot	
Q9UL25	uniprot	
Q9UPS8	uniprot	
Q9Y2K7	uniprot	
O14818	uniprot	
A1L0T0	uniprot	
P0DJI8	uniprot	
E9PAV3	uniprot	
P01703	uniprot	
P41439	uniprot	
P15328	uniprot	
A4D1S0	uniprot	
Q02833	uniprot	
Q12829	uniprot	
Q6NW34	uniprot	
Q71F23	uniprot	
Q7Z3U7	uniprot	
Q8TC26	uniprot	
Q92621	uniprot	
Q9BZW7	uniprot	
Q9H8W5	uniprot	
Q9HCK8	uniprot	
Q9NZK5	uniprot	
Q9ULK4	uniprot	
Q9UPR3	uniprot	
Q9UQ16	uniprot	
P18065	uniprot	
P13987	uniprot	
P06744	uniprot	
P50995	uniprot	
O75116	uniprot	
O60333	uniprot	
O15014	uniprot	
O43166	uniprot	
O75165	uniprot	
O75223	uniprot	
O75787	uniprot	
P46939	uniprot	
P14735	uniprot	
Q6P531	uniprot	
P30519	uniprot	
P40429	uniprot	
Q13523	uniprot	
Q16513	uniprot	
Q5T013	uniprot	
Q86W56	uniprot	
Q8IVL1	uniprot	
Q8N9B5	uniprot	
Q8NA23	uniprot	
Q96FW1	uniprot	
Q9H8M2	uniprot	
Q9NT22	uniprot	
Q9NTJ3	uniprot	
Q9NU22	uniprot	
Q9NZH0	uniprot	
P51884	uniprot	
P61160	uniprot	
O43790	uniprot	
P51993	uniprot	
P38571	uniprot	
P08246	uniprot	
Q01469	uniprot	
Q13835	uniprot	
Q14195	uniprot	
Q7Z7B0	uniprot	
Q86WT6	uniprot	
Q8IUG5	uniprot	
Q8IZD9	uniprot	
Q8N283	uniprot	
Q8TAB3	uniprot	
Q8WYA0	uniprot	
Q92530	uniprot	
Q96T88	uniprot	
Q9BXX0	uniprot	
Q9H4A3	uniprot	
Q9UBW5	uniprot	
Q9Y337	uniprot	
O75882	uniprot	
P06732	uniprot	
P28676	uniprot	
P04217	uniprot	
O76015	uniprot	
P11678	uniprot	
P0C7M3	uniprot	
Q08043	uniprot	
Q562R1	uniprot	
Q5JRC9	uniprot	
Q8N475	uniprot	
Q8N8M0	uniprot	
Q8N9V7	uniprot	
Q8NCM2	uniprot	
Q9H521	uniprot	
Q9HDB9	uniprot	
Q9NS87	uniprot	
P00736	uniprot	
Q9Y2Y8	uniprot	
O95678	uniprot	
P19021	uniprot	
O00425	uniprot	
P13489	uniprot	
P23229	uniprot	
P22061	uniprot	
P41250	uniprot	
P53804	uniprot	
Q00653	uniprot	
Q12967	uniprot	
Q5JYT7	uniprot	
Q96DR8	uniprot	
Q9BY12	uniprot	
Q9HA82	uniprot	
Q9NZT2	uniprot	
Q9UBX7	uniprot	
Q9UGL1	uniprot	
Q9Y5Z4	uniprot	
Q9Y6C9	uniprot	
Q9Y6V0	uniprot	
O00764	uniprot	
P01877	uniprot	
P12830	uniprot	
O95716	uniprot	
P26599	uniprot	
P60866	uniprot	
P57735	uniprot	
Q01082	uniprot	
Q12873	uniprot	
Q86WC4	uniprot	
Q96JB2	uniprot	
Q96JN0	uniprot	
Q99832	uniprot	
Q9BYC5	uniprot	
Q9GZM5	uniprot	
Q9H0D6	uniprot	
Q9HB40	uniprot	
Q9HBH5	uniprot	
Q9UBF2	uniprot	
Q9UJJ9	uniprot	
A6NMZ7	uniprot	
A8K8P3	uniprot	
O15228	uniprot	
P42702	uniprot	
P12107	uniprot	
P55289	uniprot	
Q03468	uniprot	
Q03701	uniprot	
Q07864	uniprot	
Q15572	uniprot	
Q32P51	uniprot	
Q3MIP1	uniprot	
Q52M93	uniprot	
Q5T6X5	uniprot	
Q6P2D8	uniprot	
Q8IYD8	uniprot	
Q8NEH6	uniprot	
Q9BXL6	uniprot	
P18077	uniprot	
P62760	uniprot	
Q9GZZ8	uniprot	
Q96QR1	uniprot	
P23284	uniprot	
P05787	uniprot	
O00429	uniprot	
P49189	uniprot	
O00471	uniprot	
P04179	uniprot	
P49720	uniprot	
O95336	uniprot	
P40227	uniprot	
O75376	uniprot	
P05165	uniprot	
P61086	uniprot	
P46531	uniprot	
P04035	uniprot	
P19387	uniprot	
P33076	uniprot	
Q04864	uniprot	
Q07343	uniprot	
Q14999	uniprot	
Q15084	uniprot	
Q2KHM9	uniprot	
Q5T011	uniprot	
Q5VV67	uniprot	
Q5W0B1	uniprot	
Q6WCQ1	uniprot	
Q86WN1	uniprot	
Q8NF91	uniprot	
Q92692	uniprot	
Q92887	uniprot	
Q96I51	uniprot	
Q96RP7	uniprot	
Q99497	uniprot	
Q9NZB8	uniprot	
Q9NZJ4	uniprot	
Q9P278	uniprot	
Q9UKM7	uniprot	
Q9ULT8	uniprot	
Q6P5S2	uniprot	
P05067	uniprot	
P12111	uniprot	
P13929	uniprot	
P53396	uniprot	
P21246	uniprot	
P14780	uniprot	
P48594	uniprot	
P12882	uniprot	
P53675	uniprot	
Q02763	uniprot	
Q10571	uniprot	
Q12792	uniprot	
Q5NDL2	uniprot	
Q86XD8	uniprot	
Q86YJ6	uniprot	
Q8IVF2	uniprot	
Q8IWC1	uniprot	
Q8N4X5	uniprot	
Q92626	uniprot	
Q96AT9	uniprot	
Q96FS4	uniprot	
Q96G03	uniprot	
Q9NRC6	uniprot	
Q9NZR2	uniprot	
Q9NZW5	uniprot	
Q9Y250	uniprot	
P02461	uniprot	
Q96A26	uniprot	
Q14116	uniprot	
A0AVI2	uniprot	
P56715	uniprot	
P78385	uniprot	
Q5HY64	uniprot	
Q5TF21	uniprot	
Q68DN1	uniprot	
Q6PRD1	uniprot	
Q92670	uniprot	
Q96L14	uniprot	
Q9BXX2	uniprot	
Q9BYB0	uniprot	
Q9UL68	uniprot	
Q58FF6	uniprot	
P00966	uniprot	
O00512	uniprot	
O15417	uniprot	
P31749	uniprot	
P54136	uniprot	
P55263	uniprot	
P54296	uniprot	
P15104	uniprot	
Q14160	uniprot	
Q14517	uniprot	
Q14689	uniprot	
Q15027	uniprot	
Q5JWR5	uniprot	
Q5T160	uniprot	
Q5TCX8	uniprot	
Q86Y13	uniprot	
Q8N5V2	uniprot	
Q8NDA8	uniprot	
Q92834	uniprot	
Q9NY33	uniprot	
Q9ULH4	uniprot	
Q9Y6D9	uniprot	
Q07065	uniprot	
P62805	uniprot	
O14717	uniprot	
P98170	uniprot	
Q12789	uniprot	
Q96PV7	uniprot	
Q9NXN4	uniprot	
Q9Y678	uniprot	
P02808	uniprot	
P27918	uniprot	
O14490	uniprot	
P53007	uniprot	
P35590	uniprot	
P13682	uniprot	
Q13129	uniprot	
Q5VT79	uniprot	
Q86VH2	uniprot	
Q8NDM7	uniprot	
Q93100	uniprot	
Q96L92	uniprot	
Q9H7T0	uniprot	
Q9NYU1	uniprot	
P60174	uniprot	
P32119	uniprot	
P31040	uniprot	
P62191	uniprot	
P13798	uniprot	
P42892	uniprot	
O75420	uniprot	
O75970	uniprot	
P45877	uniprot	
P46781	uniprot	
Q00610	uniprot	
Q0P651	uniprot	
Q13287	uniprot	
Q13315	uniprot	
Q14914	uniprot	
Q5R3I4	uniprot	
Q5TB80	uniprot	
Q68DE3	uniprot	
Q6IQ23	uniprot	
Q6KC79	uniprot	
Q7Z6K3	uniprot	
Q86WG5	uniprot	
Q8NEU8	uniprot	
Q96L93	uniprot	
Q9GZS1	uniprot	
Q9HCD5	uniprot	
P61026	uniprot	
P06702	uniprot	
P01019	uniprot	
A5D8W1	uniprot	
P08670	uniprot	
P01599	uniprot	
P07998	uniprot	
O00418	uniprot	
P07478	uniprot	
O00763	uniprot	
O15230	uniprot	
P33241	uniprot	
P54802	uniprot	
P29350	uniprot	
P30520	uniprot	
P11532	uniprot	
P49454	uniprot	
P78417	uniprot	
P80511	uniprot	
Q05639	uniprot	
Q13702	uniprot	
Q14168	uniprot	
Q14191	uniprot	
Q14289	uniprot	
Q15003	uniprot	
Q15166	uniprot	
Q5SNT2	uniprot	
Q6E0U4	uniprot	
Q8IZC6	uniprot	
Q8N3L3	uniprot	
Q8TF30	uniprot	
Q92764	uniprot	
Q96DY2	uniprot	
Q9C0J8	uniprot	
Q9H8X2	uniprot	
Q9UQB3	uniprot	
P35542	uniprot	
Q7Z7M0	uniprot	
P05543	uniprot	
O15083	uniprot	
O76011	uniprot	
P31997	uniprot	
P15918	uniprot	
P54707	uniprot	
Q14532	uniprot	
Q5JUK2	uniprot	
Q7Z3Y8	uniprot	
Q8TDW7	uniprot	
Q8WXH2	uniprot	
Q96KJ4	uniprot	
Q96PZ7	uniprot	
Q9NQ75	uniprot	
P02458	uniprot	
P59826	uniprot	
A2RTX5	uniprot	
P61009	uniprot	
P61970	uniprot	
P36957	uniprot	
O60741	uniprot	
P55957	uniprot	
P15941	uniprot	
Q02878	uniprot	
Q12841	uniprot	
Q13546	uniprot	
Q5TEA3	uniprot	
Q6Q0C0	uniprot	
Q6ZUT9	uniprot	
Q86YA3	uniprot	
Q8N428	uniprot	
Q8WWI5	uniprot	
Q96A65	uniprot	
Q96PM5	uniprot	
Q99615	uniprot	
Q9BPX3	uniprot	
Q9UHD2	uniprot	
Q9Y2V2	uniprot	
O75888	uniprot	
P62879	uniprot	
P51149	uniprot	
P31943	uniprot	
O15056	uniprot	
O15321	uniprot	
P29401	uniprot	
P68104	uniprot	
P68366	uniprot	
Q6PG37	uniprot	
Q9H0C8	uniprot	
Q9H0W5	uniprot	
Q9UNK0	uniprot	
Q9Y6R4	uniprot	
P35232	uniprot	
P54108	uniprot	
Q8WV24	uniprot	
A1L4K1	uniprot	
O75467	uniprot	
O95460	uniprot	
P0CW24	uniprot	
P41220	uniprot	
P27815	uniprot	
Q06210	uniprot	
Q7RTR2	uniprot	
Q8NDZ6	uniprot	
Q8WYQ9	uniprot	
Q96AB6	uniprot	
Q96P44	uniprot	
Q9H0X6	uniprot	
Q9H8V3	uniprot	
Q9UBV8	uniprot	
Q9Y2I7	uniprot	
Q03692	uniprot	
Q86T26	uniprot	
P13073	uniprot	
P26038	uniprot	
P06753	uniprot	
O00443	uniprot	
P10586	uniprot	
O14646	uniprot	
O14776	uniprot	
O15031	uniprot	
O43776	uniprot	
O60524	uniprot	
O60869	uniprot	
O75556	uniprot	
O95155	uniprot	
O76039	uniprot	
P04049	uniprot	
P26368	uniprot	
P62913	uniprot	
P55196	uniprot	
P29084	uniprot	
P28749	uniprot	
Q01518	uniprot	
Q02818	uniprot	
Q13033	uniprot	
Q14254	uniprot	
Q14692	uniprot	
Q14966	uniprot	
Q15042	uniprot	
Q1W6H9	uniprot	
Q5VST9	uniprot	
Q76N89	uniprot	
Q7Z6Z7	uniprot	
Q7Z7A1	uniprot	
Q8IZQ1	uniprot	
Q8N201	uniprot	
Q8TCJ2	uniprot	
Q8WU76	uniprot	
Q969V3	uniprot	
Q96HE8	uniprot	
Q96LJ7	uniprot	
Q96Q15	uniprot	
Q9C0G0	uniprot	
Q9HB07	uniprot	
Q9NTK5	uniprot	
Q9UI12	uniprot	
Q9UPT8	uniprot	
Q9Y485	uniprot	
Q9Y4I1	uniprot	
Q9Y6B7	uniprot	
Q3SY69	uniprot	
P13646	uniprot	
P21333	uniprot	
P00915	uniprot	
P04040	uniprot	
O43426	uniprot	
O43896	uniprot	
P05107	uniprot	
Q00872	uniprot	
Q13751	uniprot	
Q15942	uniprot	
Q5XKK7	uniprot	
Q7RTP6	uniprot	
Q96MK2	uniprot	
Q96PY5	uniprot	
Q9BZZ2	uniprot	
Q9H0A0	uniprot	
