protein_id	source	ncbi_taxid	genus	species	strain_or_gene	assembly	description	source_accession
Obelisk_000471_000001_000030_2	OBELISK	32644	NA	NA	.	Obelisk_000471_000001_000030	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=bovine gut metagenome | notes=.	SRR8416076
Obelisk_000471_000001_000031_1	OBELISK	32644	NA	NA	.	Obelisk_000471_000001_000031	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=bovine gut metagenome | notes=.	SRR8416083
Obelisk_000471_000001_000031_2	OBELISK	32644	NA	NA	.	Obelisk_000471_000001_000031	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=bovine gut metagenome | notes=.	SRR8416083
Obelisk_000471_000001_000032_1	OBELISK	32644	NA	NA	.	Obelisk_000471_000001_000032	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=bovine gut metagenome | notes=.	SRR8416084
Obelisk_000471_000001_000032_2	OBELISK	32644	NA	NA	.	Obelisk_000471_000001_000032	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=bovine gut metagenome | notes=.	SRR8416084
Obelisk_000471_000001_000033_1	OBELISK	32644	NA	NA	.	Obelisk_000471_000001_000033	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=bovine gut metagenome | notes=.	SRR8416087
Obelisk_000471_000001_000033_2	OBELISK	32644	NA	NA	.	Obelisk_000471_000001_000033	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=bovine gut metagenome | notes=.	SRR8416087
Obelisk_000471_000001_000034_1	OBELISK	32644	NA	NA	.	Obelisk_000471_000001_000034	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=bovine gut metagenome | notes=.	SRR8416088
Obelisk_000471_000001_000034_2	OBELISK	32644	NA	NA	.	Obelisk_000471_000001_000034	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=bovine gut metagenome | notes=.	SRR8416088
Obelisk_000471_000001_000035_1	OBELISK	32644	NA	NA	.	Obelisk_000471_000001_000035	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=bovine gut metagenome | notes=.	SRR8416094
Obelisk_000471_000001_000035_2	OBELISK	32644	NA	NA	.	Obelisk_000471_000001_000035	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=bovine gut metagenome | notes=.	SRR8416094
Obelisk_000471_000001_000036_1	OBELISK	32644	NA	NA	.	Obelisk_000471_000001_000036	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=bovine gut metagenome | notes=.	SRR8416096
Obelisk_000471_000001_000036_2	OBELISK	32644	NA	NA	.	Obelisk_000471_000001_000036	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=bovine gut metagenome | notes=.	SRR8416096
Obelisk_000471_000001_000037_1	OBELISK	32644	NA	NA	.	Obelisk_000471_000001_000037	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=bovine gut metagenome | notes=.	SRR8416101
Obelisk_000471_000001_000037_2	OBELISK	32644	NA	NA	.	Obelisk_000471_000001_000037	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=bovine gut metagenome | notes=.	SRR8416101
Obelisk_000471_000001_000038_1	OBELISK	32644	NA	NA	.	Obelisk_000471_000001_000038	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=bovine gut metagenome | notes=.	SRR8416102
Obelisk_000471_000001_000038_2	OBELISK	32644	NA	NA	.	Obelisk_000471_000001_000038	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=bovine gut metagenome | notes=.	SRR8416102
Obelisk_000472_000001_000001_1	OBELISK	32644	NA	NA	.	Obelisk_000472_000001_000001	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=fish metagenome | notes=.	DRR013900
Obelisk_000472_000001_000001_2	OBELISK	32644	NA	NA	.	Obelisk_000472_000001_000001	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=fish metagenome | notes=.	DRR013900
Obelisk_000473_000001_000001_1	OBELISK	32644	NA	NA	.	Obelisk_000473_000001_000001	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=soil metagenome | notes=.	SRR6201738
Obelisk_000473_000001_000001_2	OBELISK	32644	NA	NA	.	Obelisk_000473_000001_000001	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=soil metagenome | notes=.	SRR6201738
Obelisk_000474_000001_000001_1	OBELISK	32644	NA	NA	.	Obelisk_000474_000001_000001	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=Recurvirostra novaehollandiae | notes=.	SRR7239364
Obelisk_000474_000001_000001_2	OBELISK	32644	NA	NA	.	Obelisk_000474_000001_000001	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=Recurvirostra novaehollandiae | notes=.	SRR7239364
Obelisk_000475_000001_000001_1	OBELISK	32644	NA	NA	.	Obelisk_000475_000001_000001	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=fish metagenome | notes=.	DRR013900
Obelisk_000475_000001_000001_2	OBELISK	32644	NA	NA	.	Obelisk_000475_000001_000001	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=fish metagenome | notes=.	DRR013900
Obelisk_000476_000001_000001_1	OBELISK	32644	NA	NA	.	Obelisk_000476_000001_000001	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=biogas fermenter metagenome | notes=.	SRR5189954
Obelisk_000476_000001_000001_2	OBELISK	32644	NA	NA	.	Obelisk_000476_000001_000001	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=biogas fermenter metagenome | notes=.	SRR5189954
Obelisk_000476_000001_000002_1	OBELISK	32644	NA	NA	.	Obelisk_000476_000001_000002	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=biogas fermenter metagenome | notes=.	SRR5185605
Obelisk_000476_000001_000002_2	OBELISK	32644	NA	NA	.	Obelisk_000476_000001_000002	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=biogas fermenter metagenome | notes=.	SRR5185605
Obelisk_000476_000001_000003_1	OBELISK	32644	NA	NA	.	Obelisk_000476_000001_000003	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=bioreactor metagenome | notes=.	SRR6214911
Obelisk_000476_000001_000003_2	OBELISK	32644	NA	NA	.	Obelisk_000476_000001_000003	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=bioreactor metagenome | notes=.	SRR6214911
Obelisk_000476_000001_000004_1	OBELISK	32644	NA	NA	.	Obelisk_000476_000001_000004	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=bioreactor metagenome | notes=.	SRR6214936
Obelisk_000476_000001_000004_2	OBELISK	32644	NA	NA	.	Obelisk_000476_000001_000004	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=bioreactor metagenome | notes=.	SRR6214936
Obelisk_000476_000002_000001_1	OBELISK	32644	NA	NA	.	Obelisk_000476_000002_000001	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=biogas fermenter metagenome | notes=.	SRR5185736
Obelisk_000476_000002_000001_2	OBELISK	32644	NA	NA	.	Obelisk_000476_000002_000001	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=biogas fermenter metagenome | notes=.	SRR5185736
Obelisk_000476_000002_000001_3	OBELISK	32644	NA	NA	.	Obelisk_000476_000002_000001	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=biogas fermenter metagenome | notes=.	SRR5185736
Obelisk_000476_000002_000002_1	OBELISK	32644	NA	NA	.	Obelisk_000476_000002_000002	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=biogas fermenter metagenome | notes=.	SRR5185870
Obelisk_000476_000002_000002_2	OBELISK	32644	NA	NA	.	Obelisk_000476_000002_000002	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=biogas fermenter metagenome | notes=.	SRR5185870
Obelisk_000476_000002_000002_3	OBELISK	32644	NA	NA	.	Obelisk_000476_000002_000002	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=biogas fermenter metagenome | notes=.	SRR5185870
Obelisk_000477_000001_000001_1	OBELISK	32644	NA	NA	.	Obelisk_000477_000001_000001	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=activated sludge metagenome | notes=.	SRR6960549
Obelisk_000477_000001_000001_2	OBELISK	32644	NA	NA	.	Obelisk_000477_000001_000001	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=activated sludge metagenome | notes=.	SRR6960549
Obelisk_000477_000001_000002_1	OBELISK	32644	NA	NA	.	Obelisk_000477_000001_000002	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=activated sludge metagenome | notes=.	SRR6960550
Obelisk_000477_000001_000002_2	OBELISK	32644	NA	NA	.	Obelisk_000477_000001_000002	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=activated sludge metagenome | notes=.	SRR6960550
Obelisk_000477_000001_000003_1	OBELISK	32644	NA	NA	.	Obelisk_000477_000001_000003	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=activated sludge metagenome | notes=.	SRR7976301
Obelisk_000477_000001_000003_2	OBELISK	32644	NA	NA	.	Obelisk_000477_000001_000003	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=activated sludge metagenome | notes=.	SRR7976301
Obelisk_000477_000001_000004_1	OBELISK	32644	NA	NA	.	Obelisk_000477_000001_000004	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=activated sludge metagenome | notes=.	SRR7976310
Obelisk_000477_000001_000004_2	OBELISK	32644	NA	NA	.	Obelisk_000477_000001_000004	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=activated sludge metagenome | notes=.	SRR7976310
Obelisk_000477_000001_000005_1	OBELISK	32644	NA	NA	.	Obelisk_000477_000001_000005	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=activated sludge metagenome | notes=.	SRR5466338
Obelisk_000477_000001_000005_2	OBELISK	32644	NA	NA	.	Obelisk_000477_000001_000005	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=activated sludge metagenome | notes=.	SRR5466338
Obelisk_000477_000001_000006_1	OBELISK	32644	NA	NA	.	Obelisk_000477_000001_000006	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=activated sludge metagenome | notes=.	SRR5466364
Obelisk_000477_000001_000006_2	OBELISK	32644	NA	NA	.	Obelisk_000477_000001_000006	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=activated sludge metagenome | notes=.	SRR5466364
Obelisk_000477_000001_000007_1	OBELISK	32644	NA	NA	.	Obelisk_000477_000001_000007	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=activated sludge metagenome | notes=.	SRR5466728
Obelisk_000477_000001_000007_2	OBELISK	32644	NA	NA	.	Obelisk_000477_000001_000007	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=activated sludge metagenome | notes=.	SRR5466728
Obelisk_000477_000001_000008_1	OBELISK	32644	NA	NA	.	Obelisk_000477_000001_000008	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=activated sludge metagenome | notes=.	SRR5467090
Obelisk_000477_000001_000008_2	OBELISK	32644	NA	NA	.	Obelisk_000477_000001_000008	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=activated sludge metagenome | notes=.	SRR5467090
Obelisk_000477_000001_000009_1	OBELISK	32644	NA	NA	.	Obelisk_000477_000001_000009	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=activated sludge metagenome | notes=.	SRR5467091
Obelisk_000477_000001_000009_2	OBELISK	32644	NA	NA	.	Obelisk_000477_000001_000009	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=activated sludge metagenome | notes=.	SRR5467091
Obelisk_000477_000001_000010_1	OBELISK	32644	NA	NA	.	Obelisk_000477_000001_000010	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=activated sludge metagenome | notes=.	SRR6254353
Obelisk_000477_000001_000010_2	OBELISK	32644	NA	NA	.	Obelisk_000477_000001_000010	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=activated sludge metagenome | notes=.	SRR6254353
Obelisk_000478_000001_000001_1	OBELISK	32644	NA	NA	.	Obelisk_000478_000001_000001	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=Bos indicus | notes=.	ERR747930
Obelisk_000478_000001_000001_2	OBELISK	32644	NA	NA	.	Obelisk_000478_000001_000001	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=Bos indicus | notes=.	ERR747930
Obelisk_000478_000001_000002_1	OBELISK	32644	NA	NA	.	Obelisk_000478_000001_000002	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=bovine gut metagenome | notes=.	SRR12681655
Obelisk_000478_000001_000002_2	OBELISK	32644	NA	NA	.	Obelisk_000478_000001_000002	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=bovine gut metagenome | notes=.	SRR12681655
Obelisk_000478_000001_000003_1	OBELISK	32644	NA	NA	.	Obelisk_000478_000001_000003	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=bovine gut metagenome | notes=.	SRR12681662
Obelisk_000478_000001_000003_2	OBELISK	32644	NA	NA	.	Obelisk_000478_000001_000003	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=bovine gut metagenome | notes=.	SRR12681662
Obelisk_000478_000001_000004_1	OBELISK	32644	NA	NA	.	Obelisk_000478_000001_000004	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=Bos taurus | notes=.	ERR747928
Obelisk_000478_000001_000004_2	OBELISK	32644	NA	NA	.	Obelisk_000478_000001_000004	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=Bos taurus | notes=.	ERR747928
Obelisk_000478_000001_000005_1	OBELISK	32644	NA	NA	.	Obelisk_000478_000001_000005	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=Bos indicus x Bos taurus | notes=.	ERR747929
Obelisk_000478_000001_000005_2	OBELISK	32644	NA	NA	.	Obelisk_000478_000001_000005	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=Bos indicus x Bos taurus | notes=.	ERR747929
Obelisk_000478_000001_000006_1	OBELISK	32644	NA	NA	.	Obelisk_000478_000001_000006	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=bovine gut metagenome | notes=.	SRR12681654
Obelisk_000478_000001_000006_2	OBELISK	32644	NA	NA	.	Obelisk_000478_000001_000006	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=bovine gut metagenome | notes=.	SRR12681654
Obelisk_000478_000001_000007_1	OBELISK	32644	NA	NA	.	Obelisk_000478_000001_000007	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=bovine gut metagenome | notes=.	SRR13288469
Obelisk_000478_000001_000007_2	OBELISK	32644	NA	NA	.	Obelisk_000478_000001_000007	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=bovine gut metagenome | notes=.	SRR13288469
Obelisk_000479_000001_000001_1	OBELISK	32644	NA	NA	.	Obelisk_000479_000001_000001	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=soil metagenome | notes=.	SRR7550489
Obelisk_000479_000001_000001_2	OBELISK	32644	NA	NA	.	Obelisk_000479_000001_000001	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=soil metagenome | notes=.	SRR7550489
Obelisk_000479_000001_000002_1	OBELISK	32644	NA	NA	.	Obelisk_000479_000001_000002	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=soil metagenome | notes=.	SRR7550490
Obelisk_000479_000001_000002_2	OBELISK	32644	NA	NA	.	Obelisk_000479_000001_000002	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=soil metagenome | notes=.	SRR7550490
Obelisk_000480_000001_000001_1	OBELISK	32644	NA	NA	.	Obelisk_000480_000001_000001	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=soil metagenome | notes=.	SRR11565847
Obelisk_000480_000001_000001_2	OBELISK	32644	NA	NA	.	Obelisk_000480_000001_000001	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=soil metagenome | notes=.	SRR11565847
Obelisk_000480_000001_000002_1	OBELISK	32644	NA	NA	.	Obelisk_000480_000001_000002	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=soil metagenome | notes=.	SRR11565844
Obelisk_000480_000001_000002_2	OBELISK	32644	NA	NA	.	Obelisk_000480_000001_000002	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=soil metagenome | notes=.	SRR11565844
Obelisk_000480_000001_000003_1	OBELISK	32644	NA	NA	.	Obelisk_000480_000001_000003	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=freshwater sediment metagenome | notes=.	SRR7007636
Obelisk_000480_000001_000003_2	OBELISK	32644	NA	NA	.	Obelisk_000480_000001_000003	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=freshwater sediment metagenome | notes=.	SRR7007636
Obelisk_000480_000001_000004_1	OBELISK	32644	NA	NA	.	Obelisk_000480_000001_000004	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=freshwater sediment metagenome | notes=.	SRR7007743
Obelisk_000480_000001_000004_2	OBELISK	32644	NA	NA	.	Obelisk_000480_000001_000004	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=freshwater sediment metagenome | notes=.	SRR7007743
Obelisk_000481_000001_000001_1	OBELISK	32644	NA	NA	.	Obelisk_000481_000001_000001	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=soil metagenome | notes=.	SRR5260219
Obelisk_000481_000001_000001_2	OBELISK	32644	NA	NA	.	Obelisk_000481_000001_000001	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=soil metagenome | notes=.	SRR5260219
Obelisk_000482_000001_000001_1	OBELISK	32644	NA	NA	.	Obelisk_000482_000001_000001	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=bioreactor metagenome | notes=.	SRR6214759
Obelisk_000482_000001_000001_2	OBELISK	32644	NA	NA	.	Obelisk_000482_000001_000001	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=bioreactor metagenome | notes=.	SRR6214759
Obelisk_000482_000001_000002_1	OBELISK	32644	NA	NA	.	Obelisk_000482_000001_000002	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=bioreactor metagenome | notes=.	SRR6214848
Obelisk_000482_000001_000002_2	OBELISK	32644	NA	NA	.	Obelisk_000482_000001_000002	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=bioreactor metagenome | notes=.	SRR6214848
Obelisk_000482_000001_000003_1	OBELISK	32644	NA	NA	.	Obelisk_000482_000001_000003	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=bioreactor metagenome | notes=.	SRR6214849
Obelisk_000482_000001_000003_2	OBELISK	32644	NA	NA	.	Obelisk_000482_000001_000003	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=bioreactor metagenome | notes=.	SRR6214849
Obelisk_000482_000001_000004_1	OBELISK	32644	NA	NA	.	Obelisk_000482_000001_000004	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=bioreactor metagenome | notes=.	SRR6214916
Obelisk_000482_000001_000004_2	OBELISK	32644	NA	NA	.	Obelisk_000482_000001_000004	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=bioreactor metagenome | notes=.	SRR6214916
Obelisk_000482_000001_000005_1	OBELISK	32644	NA	NA	.	Obelisk_000482_000001_000005	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=bioreactor metagenome | notes=.	SRR6214922
Obelisk_000482_000001_000005_2	OBELISK	32644	NA	NA	.	Obelisk_000482_000001_000005	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=bioreactor metagenome | notes=.	SRR6214922
Obelisk_000482_000001_000006_1	OBELISK	32644	NA	NA	.	Obelisk_000482_000001_000006	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=bioreactor metagenome | notes=.	SRR6214931
Obelisk_000482_000001_000006_2	OBELISK	32644	NA	NA	.	Obelisk_000482_000001_000006	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=bioreactor metagenome | notes=.	SRR6214931
Obelisk_000482_000001_000007_1	OBELISK	32644	NA	NA	.	Obelisk_000482_000001_000007	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=bioreactor metagenome | notes=.	SRR6214936
Obelisk_000482_000001_000007_2	OBELISK	32644	NA	NA	.	Obelisk_000482_000001_000007	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=bioreactor metagenome | notes=.	SRR6214936
Obelisk_000482_000002_000001_1	OBELISK	32644	NA	NA	.	Obelisk_000482_000002_000001	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=metagenome | notes=.	ERR2029737
Obelisk_000482_000002_000001_2	OBELISK	32644	NA	NA	.	Obelisk_000482_000002_000001	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=metagenome | notes=.	ERR2029737
Obelisk_000482_000002_000002_1	OBELISK	32644	NA	NA	.	Obelisk_000482_000002_000002	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=metagenome | notes=.	ERR2029739
Obelisk_000482_000002_000002_2	OBELISK	32644	NA	NA	.	Obelisk_000482_000002_000002	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=metagenome | notes=.	ERR2029739
Obelisk_000482_000002_000003_1	OBELISK	32644	NA	NA	.	Obelisk_000482_000002_000003	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=metagenome | notes=.	ERR2029740
Obelisk_000482_000002_000003_2	OBELISK	32644	NA	NA	.	Obelisk_000482_000002_000003	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=metagenome | notes=.	ERR2029740
Obelisk_000482_000002_000004_1	OBELISK	32644	NA	NA	.	Obelisk_000482_000002_000004	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=metagenome | notes=.	ERR2029741
Obelisk_000482_000002_000004_2	OBELISK	32644	NA	NA	.	Obelisk_000482_000002_000004	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=metagenome | notes=.	ERR2029741
Obelisk_000482_000002_000005_1	OBELISK	32644	NA	NA	.	Obelisk_000482_000002_000005	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=metagenome | notes=.	ERR2029742
Obelisk_000482_000002_000005_2	OBELISK	32644	NA	NA	.	Obelisk_000482_000002_000005	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=metagenome | notes=.	ERR2029742
Obelisk_000482_000003_000001_1	OBELISK	32644	NA	NA	.	Obelisk_000482_000003_000001	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=metagenome | notes=.	ERR2672710
Obelisk_000482_000003_000001_2	OBELISK	32644	NA	NA	.	Obelisk_000482_000003_000001	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=metagenome | notes=.	ERR2672710
Obelisk_000482_000004_000001_1	OBELISK	32644	NA	NA	.	Obelisk_000482_000004_000001	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=metagenome | notes=.	ERR2672712
Obelisk_000482_000004_000001_2	OBELISK	32644	NA	NA	.	Obelisk_000482_000004_000001	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=metagenome | notes=.	ERR2672712
Obelisk_000482_000005_000001_1	OBELISK	32644	NA	NA	.	Obelisk_000482_000005_000001	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=biogas fermenter metagenome | notes=.	ERR843255
Obelisk_000482_000005_000001_2	OBELISK	32644	NA	NA	.	Obelisk_000482_000005_000001	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=biogas fermenter metagenome | notes=.	ERR843255
Obelisk_000483_000001_000001_1	OBELISK	32644	NA	NA	.	Obelisk_000483_000001_000001	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=marine sediment metagenome | notes=.	SRR6808580
Obelisk_000483_000001_000001_2	OBELISK	32644	NA	NA	.	Obelisk_000483_000001_000001	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=marine sediment metagenome | notes=.	SRR6808580
Obelisk_000483_000002_000001_1	OBELISK	32644	NA	NA	.	Obelisk_000483_000002_000001	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=marine sediment metagenome | notes=.	SRR6808581
Obelisk_000484_000001_000001_1	OBELISK	32644	NA	NA	.	Obelisk_000484_000001_000001	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=marine sediment metagenome | notes=.	SRR6808584
Obelisk_000485_000001_000001_1	OBELISK	32644	NA	NA	.	Obelisk_000485_000001_000001	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=sheep gut metagenome | notes=.	SRR12118747
Obelisk_000485_000002_000001_1	OBELISK	32644	NA	NA	.	Obelisk_000485_000002_000001	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=sheep gut metagenome | notes=.	SRR12118743
Obelisk_000486_000001_000001_1	OBELISK	32644	NA	NA	.	Obelisk_000486_000001_000001	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=activated sludge metagenome | notes=.	SRR5466364
Obelisk_000487_000001_000001_1	OBELISK	32644	NA	NA	.	Obelisk_000487_000001_000001	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=termite gut metagenome | notes=.	SRR7158631
Obelisk_000487_000001_000001_2	OBELISK	32644	NA	NA	.	Obelisk_000487_000001_000001	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=termite gut metagenome | notes=.	SRR7158631
Obelisk_000487_000001_000002_1	OBELISK	32644	NA	NA	.	Obelisk_000487_000001_000002	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=termite gut metagenome | notes=.	SRR7158634
Obelisk_000487_000001_000002_2	OBELISK	32644	NA	NA	.	Obelisk_000487_000001_000002	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=termite gut metagenome | notes=.	SRR7158634
