protein_id	source	ncbi_taxid	genus	species	description
T_tenax_NG.00g154240		43075	Trichomonas	tenax	2',5' RNA ligase family protein 
T_tenax_NG.00g171730		43075	Trichomonas	tenax	200 kDa antigen p200 
T_tenax_NG.00g106790		43075	Trichomonas	tenax	200 kDa antigen p200 
T_tenax_NG.00g077360		43075	Trichomonas	tenax	26S protease regulatory subunit 6B
T_tenax_NG.00g067090		43075	Trichomonas	tenax	26S protease regulatory subunit 8
T_tenax_NG.00g026830		43075	Trichomonas	tenax	26S proteasome non-ATPase regulatory subunit 
T_tenax_NG.00g140700		43075	Trichomonas	tenax	26S proteasome non-ATPase regulatory subunit 10
T_tenax_NG.00g060580		43075	Trichomonas	tenax	26S proteasome non-ATPase regulatory subunit 5
T_tenax_NG.00g049360		43075	Trichomonas	tenax	26S proteasome non-ATPase regulatory subunit 5
T_tenax_NG.00g188670		43075	Trichomonas	tenax	26S proteasome non-ATPase regulatory subunit 5
T_tenax_NG.00g035180		43075	Trichomonas	tenax	26S proteasome regulatory subunit rpn10-related protein 
T_tenax_NG.00g084790		43075	Trichomonas	tenax	26S proteasome regulatory subunit RPN2
T_tenax_NG.00g066650		43075	Trichomonas	tenax	26S proteasome regulatory subunit RPN2
T_tenax_NG.00g027070		43075	Trichomonas	tenax	26S proteasome regulatory subunit S5-related protein 
T_tenax_NG.00g021320		43075	Trichomonas	tenax	26S proteasome regulatory subunit S5-related protein 
T_tenax_NG.00g103230		43075	Trichomonas	tenax	3-hydroxybutyryl-CoA dehydrogenase 
T_tenax_NG.00g060860		43075	Trichomonas	tenax	3-oxo-5-alpha-steroid 4-dehydrogenase
T_tenax_NG.00g130380		43075	Trichomonas	tenax	3-oxo-5-alpha-steroid 4-dehydrogenase family protein 
T_tenax_NG.00g049860		43075	Trichomonas	tenax	3-oxo-5-alpha-steroid 4-dehydrogenase family protein 
T_tenax_NG.00g056060		43075	Trichomonas	tenax	3-oxo-5-alpha-steroid 4-dehydrogenase family protein 
T_tenax_NG.00g142410		43075	Trichomonas	tenax	3-oxo-5-alpha-steroid 4-dehydrogenase family protein 
T_tenax_NG.00g069920		43075	Trichomonas	tenax	3-oxo-5-alpha-steroid 4-dehydrogenase family protein 
T_tenax_NG.00g034600		43075	Trichomonas	tenax	3' exoribonuclease family, domain 1 containing protein 
T_tenax_NG.00g186350		43075	Trichomonas	tenax	3' exoribonuclease family, domain 1 containing protein 
T_tenax_NG.00g134940		43075	Trichomonas	tenax	3' exoribonuclease family, domain 1 containing protein 
T_tenax_NG.00g155160		43075	Trichomonas	tenax	3'-5' exonuclease domain-containing protein
T_tenax_NG.00g134260		43075	Trichomonas	tenax	3'-5' exonuclease domain-containing protein
T_tenax_NG.00g124340		43075	Trichomonas	tenax	3'-5' exonuclease family protein 
T_tenax_NG.00g136170		43075	Trichomonas	tenax	3'-5' exonuclease family protein 
T_tenax_NG.00g118770		43075	Trichomonas	tenax	3'-5' exonuclease family protein 
T_tenax_NG.00g186850		43075	Trichomonas	tenax	3'-5' exonuclease family protein 
T_tenax_NG.00g113330		43075	Trichomonas	tenax	3'-5' exonuclease family protein 
T_tenax_NG.00g190620		43075	Trichomonas	tenax	3'-5' exonuclease family protein 
T_tenax_NG.00g121050		43075	Trichomonas	tenax	3'-5' exonuclease family protein 
T_tenax_00g034240		43075	Trichomonas	tenax	3'-5' exonuclease family protein 3'-5' exonuclease family protein
T_tenax_00g028340		43075	Trichomonas	tenax	3'5'-cyclic nucleotide phosphodiesterase family protein
T_tenax_NG.00g106860		43075	Trichomonas	tenax	3'5'-cyclic nucleotide phosphodiesterase family protein
T_tenax_NG.00g187830		43075	Trichomonas	tenax	3'5'-cyclic nucleotide phosphodiesterase family protein
T_tenax_NG.00g107590		43075	Trichomonas	tenax	3'5'-cyclic nucleotide phosphodiesterase family protein
T_tenax_00g045570		43075	Trichomonas	tenax	3'5'-cyclic nucleotide phosphodiesterase family protein
T_tenax_NG.00g143280		43075	Trichomonas	tenax	3'5'-cyclic nucleotide phosphodiesterase family protein 
T_tenax_NG.00g168970		43075	Trichomonas	tenax	3'5'-cyclic nucleotide phosphodiesterase family protein 
T_tenax_NG.00g032950		43075	Trichomonas	tenax	3'5'-cyclic nucleotide phosphodiesterase family protein 
T_tenax_NG.00g036080		43075	Trichomonas	tenax	3'5'-cyclic nucleotide phosphodiesterase family protein 
T_tenax_NG.00g023310		43075	Trichomonas	tenax	3'5'-cyclic nucleotide phosphodiesterase family protein 
T_tenax_NG.00g034460		43075	Trichomonas	tenax	3'5'-cyclic nucleotide phosphodiesterase family protein 
T_tenax_NG.00g134650		43075	Trichomonas	tenax	3'5'-cyclic nucleotide phosphodiesterase family protein 
T_tenax_NG.00g103280		43075	Trichomonas	tenax	3'5'-cyclic nucleotide phosphodiesterase family protein 
T_tenax_NG.00g113300		43075	Trichomonas	tenax	3'5'-cyclic nucleotide phosphodiesterase family protein 
T_tenax_NG.00g074300		43075	Trichomonas	tenax	3'5'-cyclic nucleotide phosphodiesterase family protein 
T_tenax_NG.00g092890		43075	Trichomonas	tenax	3'5'-cyclic nucleotide phosphodiesterase family protein 
T_tenax_NG.00g020970		43075	Trichomonas	tenax	3'5'-cyclic nucleotide phosphodiesterase family protein 
T_tenax_NG.00g158730		43075	Trichomonas	tenax	3'5'-cyclic nucleotide phosphodiesterase family protein 
T_tenax_NG.00g170930		43075	Trichomonas	tenax	3'5'-cyclic nucleotide phosphodiesterase family protein 
T_tenax_NG.00g006110		43075	Trichomonas	tenax	3'5'-cyclic nucleotide phosphodiesterase family protein 
T_tenax_NG.00g106520		43075	Trichomonas	tenax	3'5'-cyclic nucleotide phosphodiesterase family protein 
T_tenax_NG.00g099450		43075	Trichomonas	tenax	3'5'-cyclic nucleotide phosphodiesterase family protein 
T_tenax_NG.00g116920		43075	Trichomonas	tenax	3'5'-cyclic nucleotide phosphodiesterase family protein 
T_tenax_NG.00g136990		43075	Trichomonas	tenax	3'5'-cyclic nucleotide phosphodiesterase family protein 
T_tenax_NG.00g190290		43075	Trichomonas	tenax	3'5'-cyclic nucleotide phosphodiesterase family protein 
T_tenax_NG.00g168650		43075	Trichomonas	tenax	3'5'-cyclic nucleotide phosphodiesterase family protein 
T_tenax_NG.00g001060		43075	Trichomonas	tenax	3'5'-cyclic nucleotide phosphodiesterase family protein 
T_tenax_NG.00g190490		43075	Trichomonas	tenax	3'5'-cyclic nucleotide phosphodiesterase family protein 
T_tenax_NG.00g158140		43075	Trichomonas	tenax	3'5'-cyclic nucleotide phosphodiesterase family protein 
T_tenax_NG.00g071780		43075	Trichomonas	tenax	3'5'-cyclic nucleotide phosphodiesterase family protein 
T_tenax_NG.00g044140		43075	Trichomonas	tenax	3'5'-cyclic nucleotide phosphodiesterase family protein 
T_tenax_NG.00g142530		43075	Trichomonas	tenax	3'5'-cyclic nucleotide phosphodiesterase family protein 
T_tenax_NG.00g025630		43075	Trichomonas	tenax	3'5'-cyclic nucleotide phosphodiesterase family protein 
T_tenax_NG.00g057740		43075	Trichomonas	tenax	3'5'-cyclic nucleotide phosphodiesterase family protein 
T_tenax_NG.00g032150		43075	Trichomonas	tenax	3'5'-cyclic nucleotide phosphodiesterase family protein 
T_tenax_NG.00g012520		43075	Trichomonas	tenax	3'5'-cyclic nucleotide phosphodiesterase family protein 
T_tenax_NG.00g129740		43075	Trichomonas	tenax	3'5'-cyclic nucleotide phosphodiesterase family protein 
T_tenax_NG.00g139590		43075	Trichomonas	tenax	3'5'-cyclic nucleotide phosphodiesterase family protein 
T_tenax_NG.00g150440		43075	Trichomonas	tenax	3'5'-cyclic nucleotide phosphodiesterase family protein 
T_tenax_NG.00g139600		43075	Trichomonas	tenax	3'5'-cyclic nucleotide phosphodiesterase family protein 
T_tenax_NG.00g185260		43075	Trichomonas	tenax	39 kDa initiator binding protein 
T_tenax_NG.00g107480		43075	Trichomonas	tenax	39 kDa initiator binding protein 
T_tenax_NG.00g140360		43075	Trichomonas	tenax	39 kDa initiator binding protein 
T_tenax_NG.00g016530		43075	Trichomonas	tenax	39 kDa initiator binding protein 
T_tenax_NG.00g133980		43075	Trichomonas	tenax	39S ribosomal protein L19, mitochondrial
T_tenax_00g035400		43075	Trichomonas	tenax	4-alpha-glucanotransferase family protein
T_tenax_NG.00g132170		43075	Trichomonas	tenax	4-alpha-glucanotransferase family protein 
T_tenax_NG.00g134750		43075	Trichomonas	tenax	4-alpha-glucanotransferase family protein 
T_tenax_NG.00g174480		43075	Trichomonas	tenax	4-alpha-glucanotransferase family protein 
T_tenax_NG.00g140410		43075	Trichomonas	tenax	4-alpha-glucanotransferase family protein 
T_tenax_NG.00g146250		43075	Trichomonas	tenax	4-alpha-glucanotransferase family protein 
T_tenax_NG.00g087660		43075	Trichomonas	tenax	40S ribosomal protein S11
T_tenax_NG.00g088920		43075	Trichomonas	tenax	40S ribosomal protein S11
T_tenax_NG.00g129770		43075	Trichomonas	tenax	40S ribosomal protein S11
T_tenax_NG.00g160200		43075	Trichomonas	tenax	40S ribosomal protein S11
T_tenax_NG.00g074440		43075	Trichomonas	tenax	40S ribosomal protein S13 
T_tenax_NG.00g029360		43075	Trichomonas	tenax	40S ribosomal protein S13 
T_tenax_NG.00g140480		43075	Trichomonas	tenax	40S ribosomal protein S13 
T_tenax_NG.00g164220		43075	Trichomonas	tenax	40S ribosomal protein S13 
T_tenax_NG.00g187460		43075	Trichomonas	tenax	40S ribosomal protein S13 
T_tenax_NG.00g007970		43075	Trichomonas	tenax	40S ribosomal protein S16 
T_tenax_NG.00g056410		43075	Trichomonas	tenax	40S ribosomal protein S16 
T_tenax_NG.00g073360		43075	Trichomonas	tenax	40S ribosomal protein S16 
T_tenax_NG.00g087680		43075	Trichomonas	tenax	40S ribosomal protein S16 
T_tenax_NG.00g131380		43075	Trichomonas	tenax	40S ribosomal protein S16 
T_tenax_NG.00g151040		43075	Trichomonas	tenax	40S ribosomal protein S16 
T_tenax_NG.00g014910		43075	Trichomonas	tenax	40S ribosomal protein S17-B 
T_tenax_NG.00g029110		43075	Trichomonas	tenax	40S ribosomal protein S17-B 
T_tenax_NG.00g076530		43075	Trichomonas	tenax	40S ribosomal protein S17-B 
T_tenax_NG.00g105790		43075	Trichomonas	tenax	40S ribosomal protein S17-B 
T_tenax_NG.00g168590		43075	Trichomonas	tenax	40S ribosomal protein S17-B 
T_tenax_NG.00g174610		43075	Trichomonas	tenax	40S ribosomal protein S2 
T_tenax_00g063600		43075	Trichomonas	tenax	40S ribosomal protein S21 40S ribosomal protein S21
T_tenax_00g073090		43075	Trichomonas	tenax	40S ribosomal protein S21 40S ribosomal protein S21
T_tenax_NG.00g008490		43075	Trichomonas	tenax	40S ribosomal protein S23 
T_tenax_NG.00g014840		43075	Trichomonas	tenax	40S ribosomal protein S23 
T_tenax_NG.00g021610		43075	Trichomonas	tenax	40S ribosomal protein S23 
T_tenax_NG.00g024670		43075	Trichomonas	tenax	40S ribosomal protein S23 
T_tenax_NG.00g060100		43075	Trichomonas	tenax	40S ribosomal protein S23 
T_tenax_NG.00g085320		43075	Trichomonas	tenax	40S ribosomal protein S23 
T_tenax_NG.00g108500		43075	Trichomonas	tenax	40S ribosomal protein S25
T_tenax_NG.00g146760		43075	Trichomonas	tenax	40S ribosomal protein S25
T_tenax_NG.00g175900		43075	Trichomonas	tenax	40S ribosomal protein S25
T_tenax_NG.00g185210		43075	Trichomonas	tenax	40S ribosomal protein S25
T_tenax_NG.00g017390		43075	Trichomonas	tenax	40S ribosomal protein S26 
T_tenax_NG.00g061100		43075	Trichomonas	tenax	40S ribosomal protein S26 
T_tenax_NG.00g064330		43075	Trichomonas	tenax	40S ribosomal protein S26 
T_tenax_NG.00g107180		43075	Trichomonas	tenax	40S ribosomal protein S26 
T_tenax_NG.00g145980		43075	Trichomonas	tenax	40S ribosomal protein S26 
T_tenax_00g052280		43075	Trichomonas	tenax	40S ribosomal protein S30 40S ribosomal protein S30
T_tenax_00g095330		43075	Trichomonas	tenax	40S ribosomal protein S30 40S ribosomal protein S30
T_tenax_00g134740		43075	Trichomonas	tenax	40S ribosomal protein S30 40S ribosomal protein S30
T_tenax_NG.00g021600		43075	Trichomonas	tenax	40S ribosomal protein S4-C 
T_tenax_NG.00g064420		43075	Trichomonas	tenax	40S ribosomal protein S4-C 
T_tenax_NG.00g139390		43075	Trichomonas	tenax	40S ribosomal protein S4-C 
T_tenax_NG.00g057720		43075	Trichomonas	tenax	40S ribosomal protein S5 
T_tenax_NG.00g047350		43075	Trichomonas	tenax	40S ribosomal protein S5 
T_tenax_NG.00g004070		43075	Trichomonas	tenax	40S ribosomal protein S5 
T_tenax_NG.00g106400		43075	Trichomonas	tenax	40S ribosomal protein S5 
T_tenax_NG.00g128160		43075	Trichomonas	tenax	40S ribosomal protein S5 
T_tenax_00g156610		43075	Trichomonas	tenax	40S ribosomal protein S7
T_tenax_NG.00g135700		43075	Trichomonas	tenax	40S ribosomal protein S7 
T_tenax_NG.00g095150		43075	Trichomonas	tenax	40S ribosomal protein S7 
T_tenax_NG.00g099770		43075	Trichomonas	tenax	40S ribosomal protein S7 
T_tenax_NG.00g171320		43075	Trichomonas	tenax	40S ribosomal protein S7 
T_tenax_NG.00g140650		43075	Trichomonas	tenax	40S ribosomal protein S7 
T_tenax_NG.00g030600		43075	Trichomonas	tenax	40S ribosomal protein S8
T_tenax_NG.00g083170		43075	Trichomonas	tenax	40S ribosomal protein S8
T_tenax_NG.00g122240		43075	Trichomonas	tenax	40S ribosomal protein S8
T_tenax_NG.00g165010		43075	Trichomonas	tenax	40S ribosomal protein S8
T_tenax_NG.00g051830		43075	Trichomonas	tenax	40S ribosomal protein S9
T_tenax_NG.00g114950		43075	Trichomonas	tenax	40S ribosomal protein S9
T_tenax_NG.00g131730		43075	Trichomonas	tenax	40S ribosomal protein S9
T_tenax_NG.00g150550		43075	Trichomonas	tenax	40S ribosomal protein S9
T_tenax_NG.00g116270		43075	Trichomonas	tenax	4930438O03Rik protein 
T_tenax_NG.00g189790		43075	Trichomonas	tenax	4Fe-4S binding domain containing protein 
T_tenax_NG.00g033580		43075	Trichomonas	tenax	4Fe-4S binding domain containing protein 
T_tenax_NG.00g039070		43075	Trichomonas	tenax	4Fe-4S binding domain containing protein 
T_tenax_NG.00g126690		43075	Trichomonas	tenax	4Fe-4S binding domain containing protein 
T_tenax_NG.00g074330		43075	Trichomonas	tenax	4Fe-4S binding domain containing protein 
T_tenax_NG.00g006500		43075	Trichomonas	tenax	4HBT domain-containing protein
T_tenax_NG.00g010560		43075	Trichomonas	tenax	5-azacytidine resistance protein azr1-related protein 
T_tenax_NG.00g173910		43075	Trichomonas	tenax	5-methyltetrahydropteroyltriglutamate--homocysteine S-methyltransferase (Fragment)
T_tenax_NG.00g180540		43075	Trichomonas	tenax	5-nitroimidazole antibiotic resistance protein 
T_tenax_NG.00g178980		43075	Trichomonas	tenax	5'(3')-deoxyribonucleotidase
T_tenax_NG.00g147080		43075	Trichomonas	tenax	6-phosphogluconate dehydrogenase 
T_tenax_NG.00g186980		43075	Trichomonas	tenax	6-phosphogluconate dehydrogenase 
T_tenax_NG.00g175730		43075	Trichomonas	tenax	6-phosphogluconate dehydrogenase, decarboxylating family protein 
T_tenax_NG.00g168980		43075	Trichomonas	tenax	6-phosphogluconate dehydrogenase, decarboxylating family protein 
T_tenax_NG.00g017500		43075	Trichomonas	tenax	6-phosphogluconolactonase, cycloisomerase 2 family
T_tenax_NG.00g002380		43075	Trichomonas	tenax	60 kDa chaperonin
T_tenax_00g068020		43075	Trichomonas	tenax	60s Acidic ribosomal protein
T_tenax_00g091290		43075	Trichomonas	tenax	60S acidic ribosomal protein P1
T_tenax_00g020030		43075	Trichomonas	tenax	60S acidic ribosomal protein P1
T_tenax_00g124240		43075	Trichomonas	tenax	60S acidic ribosomal protein P1 60S acidic ribosomal protein P1
T_tenax_00g144120		43075	Trichomonas	tenax	60S acidic ribosomal protein P1 60S acidic ribosomal protein P1
T_tenax_NG.00g102520		43075	Trichomonas	tenax	60S ribosomal protein L11 
T_tenax_NG.00g001670		43075	Trichomonas	tenax	60S ribosomal protein L11 
T_tenax_NG.00g032820		43075	Trichomonas	tenax	60S ribosomal protein L11 
T_tenax_NG.00g059520		43075	Trichomonas	tenax	60S ribosomal protein L11 
T_tenax_NG.00g012000		43075	Trichomonas	tenax	60S ribosomal protein L12 
T_tenax_NG.00g062370		43075	Trichomonas	tenax	60S ribosomal protein L12 
T_tenax_NG.00g154010		43075	Trichomonas	tenax	60S ribosomal protein L12 
T_tenax_NG.00g086480		43075	Trichomonas	tenax	60S ribosomal protein L15-1 
T_tenax_NG.00g107630		43075	Trichomonas	tenax	60S ribosomal protein L15-1 
T_tenax_NG.00g124450		43075	Trichomonas	tenax	60S ribosomal protein L15-1 
T_tenax_NG.00g154720		43075	Trichomonas	tenax	60S ribosomal protein L15-1 
T_tenax_NG.00g177190		43075	Trichomonas	tenax	60S ribosomal protein L16 
T_tenax_NG.00g029570		43075	Trichomonas	tenax	60S ribosomal protein L18 
T_tenax_NG.00g055250		43075	Trichomonas	tenax	60S ribosomal protein L18 
T_tenax_NG.00g060370		43075	Trichomonas	tenax	60S ribosomal protein L18 
T_tenax_NG.00g089150		43075	Trichomonas	tenax	60S ribosomal protein L18 
T_tenax_NG.00g107190		43075	Trichomonas	tenax	60S ribosomal protein L18 
T_tenax_NG.00g160960		43075	Trichomonas	tenax	60S ribosomal protein L18 
T_tenax_NG.00g118880		43075	Trichomonas	tenax	60S ribosomal protein L19-3 
T_tenax_NG.00g127850		43075	Trichomonas	tenax	60S ribosomal protein L19-3 
T_tenax_NG.00g140260		43075	Trichomonas	tenax	60S ribosomal protein L19-3 
T_tenax_NG.00g069400		43075	Trichomonas	tenax	60S ribosomal protein L22-1 
T_tenax_NG.00g146400		43075	Trichomonas	tenax	60S ribosomal protein L22-1 
T_tenax_NG.00g077590		43075	Trichomonas	tenax	60S ribosomal protein L22-1 
T_tenax_NG.00g006120		43075	Trichomonas	tenax	60S ribosomal protein L22-1 
T_tenax_NG.00g146730		43075	Trichomonas	tenax	60S ribosomal protein L23 
T_tenax_NG.00g177670		43075	Trichomonas	tenax	60S ribosomal protein L23 
T_tenax_NG.00g012790		43075	Trichomonas	tenax	60S ribosomal protein L23 
T_tenax_NG.00g140510		43075	Trichomonas	tenax	60S ribosomal protein L3
T_tenax_NG.00g109110		43075	Trichomonas	tenax	60S ribosomal protein L30 
T_tenax_NG.00g114670		43075	Trichomonas	tenax	60S ribosomal protein L30 
T_tenax_NG.00g132900		43075	Trichomonas	tenax	60S ribosomal protein L30 
T_tenax_NG.00g151730		43075	Trichomonas	tenax	60S ribosomal protein L30 
T_tenax_NG.00g182310		43075	Trichomonas	tenax	60S ribosomal protein L30 
T_tenax_NG.00g009430		43075	Trichomonas	tenax	60S ribosomal protein L37-B 
T_tenax_00g032360		43075	Trichomonas	tenax	60S ribosomal protein L37-B Ribosomal protein L37
T_tenax_00g033320		43075	Trichomonas	tenax	60S ribosomal protein L37-B Ribosomal protein L37
T_tenax_00g062430		43075	Trichomonas	tenax	60S ribosomal protein L37-B Ribosomal protein L37
T_tenax_00g096300		43075	Trichomonas	tenax	60S ribosomal protein L38-2 Ribosomal protein L38e
T_tenax_NG.00g005500		43075	Trichomonas	tenax	60S ribosomal protein L44 
T_tenax_NG.00g031030		43075	Trichomonas	tenax	60S ribosomal protein L44 
T_tenax_NG.00g075540		43075	Trichomonas	tenax	60S ribosomal protein L44 
T_tenax_NG.00g098020		43075	Trichomonas	tenax	60S ribosomal protein L44 
T_tenax_NG.00g113720		43075	Trichomonas	tenax	60S ribosomal protein L44 
T_tenax_NG.00g183540		43075	Trichomonas	tenax	60S ribosomal protein L44 
T_tenax_NG.00g056660		43075	Trichomonas	tenax	60S ribosomal protein L6 
T_tenax_NG.00g115150		43075	Trichomonas	tenax	60S ribosomal protein L6 
T_tenax_NG.00g152630		43075	Trichomonas	tenax	60S ribosomal protein L6 
T_tenax_NG.00g098070		43075	Trichomonas	tenax	60S ribosomal protein L6 
T_tenax_NG.00g049310		43075	Trichomonas	tenax	60S ribosomal protein L7-2 
T_tenax_NG.00g059000		43075	Trichomonas	tenax	60S ribosomal protein L7-2 
T_tenax_NG.00g080620		43075	Trichomonas	tenax	60S ribosomal protein L7-2 
T_tenax_NG.00g089750		43075	Trichomonas	tenax	60S ribosomal protein L7a 
T_tenax_NG.00g036830		43075	Trichomonas	tenax	64kDa iron hydrogenase 
T_tenax_NG.00g092030		43075	Trichomonas	tenax	64kDa iron hydrogenase 
T_tenax_NG.00g006480		43075	Trichomonas	tenax	A to I editase domain-containing protein
T_tenax_NG.00g006930		43075	Trichomonas	tenax	A-agglutinin attachment subunit precursor 
T_tenax_NG.00g167460		43075	Trichomonas	tenax	AAA domain-containing protein
T_tenax_NG.00g044560		43075	Trichomonas	tenax	AAA domain-containing protein
T_tenax_NG.00g179690		43075	Trichomonas	tenax	AAA domain-containing protein
T_tenax_NG.00g134480		43075	Trichomonas	tenax	AAA domain-containing protein
T_tenax_NG.00g119910		43075	Trichomonas	tenax	AAA domain-containing protein
T_tenax_NG.00g150300		43075	Trichomonas	tenax	AAA domain-containing protein
T_tenax_NG.00g103800		43075	Trichomonas	tenax	AAA domain-containing protein
T_tenax_NG.00g072610		43075	Trichomonas	tenax	AAA domain-containing protein
T_tenax_NG.00g109180		43075	Trichomonas	tenax	AAA domain-containing protein
T_tenax_NG.00g023590		43075	Trichomonas	tenax	AAA domain-containing protein
T_tenax_NG.00g139290		43075	Trichomonas	tenax	AATF-Che1 domain-containing protein
T_tenax_NG.00g176630		43075	Trichomonas	tenax	AB hydrolase-1 domain-containing protein
T_tenax_NG.00g178260		43075	Trichomonas	tenax	AB hydrolase-1 domain-containing protein
T_tenax_NG.00g043320		43075	Trichomonas	tenax	Abasic site processing protein
T_tenax_NG.00g008390		43075	Trichomonas	tenax	ABC transmembrane type-1 domain-containing protein
T_tenax_NG.00g005610		43075	Trichomonas	tenax	ABC transporter ATP-binding protein
T_tenax_NG.00g104220		43075	Trichomonas	tenax	ABC transporter domain-containing protein
T_tenax_NG.00g073270		43075	Trichomonas	tenax	ABC transporter E family member 2
T_tenax_NG.00g054580		43075	Trichomonas	tenax	ABC transporter family protein 
T_tenax_NG.00g168170		43075	Trichomonas	tenax	ABC transporter family protein 
T_tenax_NG.00g134520		43075	Trichomonas	tenax	ABC transporter family protein 
T_tenax_NG.00g131320		43075	Trichomonas	tenax	ABC transporter family protein 
T_tenax_NG.00g035920		43075	Trichomonas	tenax	ABC transporter family protein 
T_tenax_NG.00g117490		43075	Trichomonas	tenax	ABC transporter family protein 
T_tenax_NG.00g131310		43075	Trichomonas	tenax	ABC transporter family protein 
T_tenax_NG.00g171660		43075	Trichomonas	tenax	ABC transporter family protein 
T_tenax_NG.00g034760		43075	Trichomonas	tenax	ABC transporter family protein 
T_tenax_NG.00g168180		43075	Trichomonas	tenax	ABC transporter family protein 
T_tenax_NG.00g171670		43075	Trichomonas	tenax	ABC transporter family protein 
T_tenax_NG.00g130700		43075	Trichomonas	tenax	ABC transporter family protein 
T_tenax_NG.00g102020		43075	Trichomonas	tenax	ABC transporter family protein 
T_tenax_NG.00g081530		43075	Trichomonas	tenax	ABC transporter family protein 
T_tenax_NG.00g156040		43075	Trichomonas	tenax	ABC transporter family protein 
T_tenax_NG.00g152980		43075	Trichomonas	tenax	ABC transporter family protein 
T_tenax_NG.00g156030		43075	Trichomonas	tenax	ABC transporter family protein 
T_tenax_NG.00g068120		43075	Trichomonas	tenax	ABC transporter family protein 
T_tenax_NG.00g034750		43075	Trichomonas	tenax	ABC transporter family protein 
T_tenax_NG.00g156510		43075	Trichomonas	tenax	ABC transporter family protein 
T_tenax_NG.00g028230		43075	Trichomonas	tenax	ABC transporter family protein 
T_tenax_NG.00g153940		43075	Trichomonas	tenax	ABC transporter family protein 
T_tenax_NG.00g130180		43075	Trichomonas	tenax	ABC transporter family protein 
T_tenax_NG.00g022300		43075	Trichomonas	tenax	ABC transporter family protein 
T_tenax_NG.00g163000		43075	Trichomonas	tenax	ABC transporter family protein 
T_tenax_NG.00g077400		43075	Trichomonas	tenax	ABC transporter family protein 
T_tenax_NG.00g018410		43075	Trichomonas	tenax	ABC transporter family protein 
T_tenax_NG.00g025920		43075	Trichomonas	tenax	ABC transporter family protein 
T_tenax_NG.00g027820		43075	Trichomonas	tenax	ABC transporter family protein 
T_tenax_NG.00g154620		43075	Trichomonas	tenax	ABC transporter family protein 
T_tenax_NG.00g050860		43075	Trichomonas	tenax	ABC transporter family protein 
T_tenax_NG.00g175640		43075	Trichomonas	tenax	ABC transporter family protein 
T_tenax_NG.00g013100		43075	Trichomonas	tenax	ABC transporter family protein 
T_tenax_NG.00g059360		43075	Trichomonas	tenax	ABC transporter family protein 
T_tenax_NG.00g117860		43075	Trichomonas	tenax	ABC transporter family protein 
T_tenax_NG.00g070360		43075	Trichomonas	tenax	ABC transporter family protein 
T_tenax_NG.00g098830		43075	Trichomonas	tenax	ABC transporter family protein 
T_tenax_NG.00g144230		43075	Trichomonas	tenax	ABC transporter family protein 
T_tenax_NG.00g132030		43075	Trichomonas	tenax	ABC transporter family protein 
T_tenax_NG.00g059370		43075	Trichomonas	tenax	ABC transporter family protein 
T_tenax_NG.00g071540		43075	Trichomonas	tenax	ABC transporter family protein 
T_tenax_NG.00g013630		43075	Trichomonas	tenax	ABC transporter family protein 
